Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.28,-.04,-.36,-.12,-.01,-.82,-.44,-.27,-.15,-.09,-.03,.05,.65
1881,-.07,-.16,.01,-.33,.11,-.07,-.91,-.41,-.19,.10,.12,-.05,-.07,.57
1882,-.10,-.20,.00,-.29,-.04,.01,-1.40,-.23,-.13,-.05,-.03,.02,.04,.60
1883,-.16,-.27,-.06,-.33,-.16,-.01,-.20,-.53,-.24,-.18,-.14,-.03,.07,.47
1884,-.28,-.43,-.14,-.61,-.14,-.14,-1.32,-.64,-.47,-.13,-.15,-.19,-.02,.62
1885,-.32,-.42,-.24,-.64,-.12,-.27,-1.49,-.65,-.45,-.06,-.19,-.33,-.15,.80
1886,-.30,-.42,-.19,-.56,-.19,-.21,-1.57,-.47,-.40,-.20,-.17,-.20,-.20,.56
1887,-.35,-.42,-.28,-.51,-.29,-.28,-1.74,-.47,-.29,-.28,-.29,-.27,-.26,.29
1888,-.17,-.22,-.12,-.41,.10,-.29,-1.29,-.40,-.24,.08,.13,-.31,-.22,.13
1889,-.10,-.16,-.04,-.28,.08,-.16,-.67,-.19,-.28,.03,.14,-.15,-.15,.42
1890,-.34,-.37,-.32,-.44,-.36,-.22,-1.12,-.52,-.27,-.26,-.47,-.17,-.27,.12
1891,-.22,-.26,-.19,-.43,-.07,-.21,-1.14,-.32,-.37,.01,-.16,-.18,-.24,-.18
1892,-.27,-.39,-.15,-.44,-.29,-.08,-1.17,-.63,-.18,-.32,-.26,.02,-.21,.06
1893,-.31,-.47,-.15,-.51,-.35,-.05,-.72,-.52,-.48,-.41,-.30,.07,-.20,-.07
1894,-.30,-.38,-.21,-.32,-.33,-.24,-.99,-.30,-.19,-.47,-.18,-.15,-.35,-.40
1895,-.22,-.29,-.15,-.40,-.06,-.26,-.68,-.50,-.27,-.13,.01,-.20,-.32,-.61
1896,-.11,-.19,-.02,-.35,.11,-.15,-.92,-.35,-.23,.06,.15,-.15,-.13,.23
1897,-.10,-.16,-.05,-.35,.18,-.23,-.58,-.44,-.25,.14,.21,-.19,-.27,.38
1898,-.26,-.27,-.26,-.33,-.22,-.26,-1.13,-.17,-.23,-.18,-.25,-.28,-.21,.35
1899,-.17,-.21,-.14,-.23,-.11,-.19,-1.05,-.07,-.15,-.16,-.07,-.16,-.22,.56
1900,-.08,-.08,-.06,-.19,.18,-.30,-.57,-.11,-.16,.10,.26,-.28,-.29,.25
1901,-.15,-.12,-.18,-.17,-.03,-.30,-.45,-.09,-.15,-.06,-.01,-.27,-.33,.23
1902,-.28,-.33,-.22,-.53,-.03,-.35,-1.43,-.49,-.33,-.02,-.05,-.28,-.43,-.07
1903,-.37,-.38,-.36,-.47,-.28,-.38,-.31,-.41,-.56,-.23,-.33,-.35,-.40,-.48
1904,-.46,-.48,-.45,-.51,-.45,-.44,-.20,-.58,-.55,-.43,-.47,-.37,-.49,-1.30
1905,-.26,-.29,-.22,-.41,-.07,-.36,-.10,-.21,-.62,-.11,-.03,-.33,-.37,-.32
1906,-.22,-.24,-.20,-.26,-.19,-.23,-.30,-.05,-.39,-.22,-.16,-.20,-.22,-.70
1907,-.38,-.47,-.29,-.59,-.29,-.29,-.62,-.71,-.52,-.30,-.29,-.21,-.37,-1.19
1908,-.42,-.46,-.39,-.48,-.43,-.36,-.28,-.53,-.51,-.42,-.43,-.29,-.48,.69
1909,-.48,-.49,-.47,-.53,-.47,-.44,-.78,-.60,-.43,-.44,-.50,-.38,-.52,-.55
1910,-.43,-.44,-.42,-.41,-.47,-.38,-.61,-.23,-.49,-.48,-.47,-.33,-.45,.17
1911,-.44,-.42,-.45,-.42,-.41,-.48,-.32,-.40,-.47,-.43,-.40,-.44,-.53,.06
1912,-.35,-.46,-.24,-.59,-.17,-.37,-.52,-.77,-.50,-.27,-.07,-.37,-.29,-1.62
1913,-.34,-.42,-.25,-.44,-.26,-.35,-.52,-.32,-.50,-.39,-.13,-.28,-.40,-1.03
1914,-.15,-.20,-.10,-.25,-.06,-.18,-.39,-.15,-.28,-.13,.01,-.16,-.18,-.35
1915,-.14,-.14,-.12,-.23,-.01,-.22,-.62,-.15,-.19,-.01,.00,-.15,-.23,-1.97
1916,-.36,-.42,-.30,-.37,-.44,-.23,-.51,-.53,-.24,-.50,-.39,-.23,-.17,-1.04
1917,-.46,-.58,-.35,-.50,-.63,-.19,-.85,-.48,-.43,-.69,-.56,-.23,-.09,.07
1918,-.29,-.40,-.19,-.41,-.32,-.14,-1.03,-.26,-.35,-.38,-.26,-.06,-.23,-.27
1919,-.27,-.35,-.20,-.44,-.19,-.22,-.72,-.55,-.30,-.23,-.15,-.15,-.32,.21
1920,-.27,-.31,-.23,-.25,-.25,-.32,-.03,-.19,-.35,-.38,-.11,-.19,-.48,-1.13
